course,class_number,enrolled,limit,meetingNumber,facilityId,facilityType,facilityDescription,facilityDescriptionShort,facilityGroup,facilityCapacity,buildingCode,room,buildingDescription,buildingDescriptionShort,startTime,endTime,startDate,endDate,monday,tuesday,wednesday,thursday,friday,saturday,sunday,standingMeetingPattern,term,catalogId,classTitle,classNumber,section,sectionEnrollment,Latitude,Longitude
THEATRE 3814,35957,14,16,1,TFM0360,PERF,"Theatre, Film and Media Arts Building",TFM,False,35,1025,360,"Theatre, Film & Media Arts 360",TFM 360,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,THEATRE 3814,Acting Studio III: Special Topics,35957,0010,14,40.0017902410817,-83.0101716327005
THEATRE 3815,35958,16,16,1,TFM0385,PERF,"Theatre, Film and Media Arts Building",TFM,False,30,1025,385,"Theatre, Film & Media Arts 385",TFM0385,1:15 pm,3:20 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 3815,Acting for the Camera,35958,0010,16,40.0017902410817,-83.0101716327005
THEATRE 3820,35959,16,16,1,TFM0360,PERF,"Theatre, Film and Media Arts Building",TFM,False,35,1025,360,"Theatre, Film & Media Arts 360",TFM 360,12:45 pm,2:05 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 3820,Introduction to Voice Acting,35959,0010,16,40.0017902410817,-83.0101716327005
THEATRE 3831,20560,9,16,1,TFM0360,PERF,"Theatre, Film and Media Arts Building",TFM,False,35,1025,360,"Theatre, Film & Media Arts 360",TFM 360,11:10 am,12:30 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,WF,Spring 2025,THEATRE 3831,Movement and Voice,20560,0010,9,40.0017902410817,-83.0101716327005
THEATRE 3831,27766,12,16,1,TFM0350,PERF,"Theatre, Film and Media Arts Building",TFM,False,22,1025,350,"Theatre, Film & Media Arts 350",TFM 350,3:55 pm,5:15 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,TR,Spring 2025,THEATRE 3831,Movement and Voice,27766,0020,9,40.0017902410817,-83.0101716327005
THEATRE 4000.08,20575,17,19,1,TFM0360,PERF,"Theatre, Film and Media Arts Building",TFM,False,35,1025,360,"Theatre, Film & Media Arts 360",TFM 360,6:30 pm,10:30 pm,2025-01-06,2025-04-21,True,True,True,True,True,False,False,,Spring 2025,THEATRE 4000.08,Practicum: Acting,20575,0010,17,40.0017902410817,-83.0101716327005
THEATRE 4381,28351,12,16,1,TFM0305,2A,"Theatre, Film and Media Arts Building",TFM,False,35,1025,305,"Theatre, Film & Media Arts 305",TFM 305,3:35 pm,5:40 pm,2025-01-06,2025-04-21,False,True,False,True,False,False,False,,Spring 2025,THEATRE 4381,Narrative Filmmaking Fundamentals,28351,0010,12,40.0017902410817,-83.0101716327005
THEATRE 5111,35962,13,12,1,TFM0435,2M,"Theatre, Film and Media Arts Building",TFM,False,22,1025,435,"Theatre, Film & Media Arts 435",TFM 435,1:00 pm,3:00 pm,2025-01-06,2025-04-21,False,False,True,False,True,False,False,,Spring 2025,THEATRE 5111,Advanced Stage Directing,35962,0010,13,40.0017902410817,-83.0101716327005
THEATRE 5210,29263,5,12,1,TFM0340,2A,"Theatre, Film and Media Arts Building",TFM,False,18,1025,340,"Theatre, Film & Media Arts 340",TFM 340,9:35 am,10:55 am,2025-01-06,2025-04-21,False,False,True,False,True,False,False,TR,Spring 2025,THEATRE 5210,Drafting & Modeling for Theatre,29263,0010,1,40.0017902410817,-83.0101716327005
THEATRE 5210,29264,1,12,1,TFM0340,2A,"Theatre, Film and Media Arts Building",TFM,False,18,1025,340,"Theatre, Film & Media Arts 340",TFM 340,9:35 am,10:55 am,2025-01-06,2025-04-21,False,False,True,False,True,False,False,TR,Spring 2025,THEATRE 5210,Drafting & Modeling for Theatre,29264,0010,1,40.0017902410817,-83.0101716327005
